English word	Variant	Diné word	Biological definition in english	Defintion in Diné	Literal Translation	Distinction	See also (English)	See also (Diné)	Use in a sentence (English)	Use in a sentence (Diné)	Phonetic English	Phonetic Diné	English audio file name (leave blank for auto-generated)	Diné audio file name (leave blank for auto-generated)
abiotic factor		ááhoo'níił nayiiłnání	Any non living factor that impacts an ecosystem. For example, temperature.	Ááhoo'nííł éí bee hahodilyaii t'áá ałtso nahasdzáán dóó yádiłhił bii' siláhígíí ahił nidaalnishgo nináháhááhígíí éí nayiił'ná hadoh dóó hak'az ádaat'éii.										
ABO blood type		dił ał'ąą ádaat'éhígíí	A system used to group human blood into different types, based on the presence or absence of certain characteristics on the surface of red blood cells. The four main blood types are A, B, O, and AB	Bíla'ashdla'ii bidił bee bééhózindooígíí ádaalyaa. Hadił łichíí'ígíí bikáá'gónaa áhoot'éhígíí bik'ehgo háidígííshį́į́ hadił A, B, O, doodago AB.										
acid		atsiniltł'ish bilááh éí doodago bi'oh ábóodziil	A substance that becomes more positively or negatively charged during a chemical reaction and releases hydrogen ions when dissolved in water.	Ha'át'íi da bitsiniltł'ish bilááh éí doodago a'oh yileehgo taah ji'áahgo níłch'i hydrogen bitsiniltł'ish hólǫ́ǫgo bits'á shígish.	sour									
adaptation		bił ho'dizhchíinii bee jíłdzilígíí	A heritable trait that increases the fitness of an individual with that trait compared to individuals without that trait in a particular environment.	Bee ájít'éii bił ho'dizhchínígíí ła' bee hadziilgo jiinánígíí hái da nááná ła' ákót'éhígíí doo bił yizhchínígíí bił ałch'į' naa'nil aheełt'éego haz'ą́ągi haalzííd.										
adult		hináanii oochííł yaa ninísą́	An organism that has reached sexual maturity.	Bíla'ashdla'ii oochííł yaa ninísą́ągo yaa hóyánígíí.				hináanii						
agriculture		kʼééʼdílyééh	The art, science, or practice of cultivating the soil, growing crops, and raising livestock	Dá'ák'eh, k'eelyéí, daneest'áanii, dóó iiná naalyé bíhoo'ą́ą́'	kʼééʼdílyééh= planting/agriculture	this applies to all types of vegetation. Word will change If start talking about specific planting of something ie "plant corn, kil dilyeeh"								
algae		tátłʼid	Unicellular or multicellular organisms occurring in fresh or salt water or moist ground, that have chlorophyll and other pigments but lack true stems, roots, and leaves	Tátł'id éí táyi' éí doodago hoditłéé'góó dahólǫ́ bits'íís bitł'óól t'áá łá'í éí doodago łą́ áádóó dootł'izh łeh éí doodago t'áá łahgo ánoolnin łeh.	łʼid= smoke , tá= under. =under water smoke type of thing/describing the hazyness of how it looks. 									
allele		bik'ehgo náás oochíiłii ał'ąą át'é	A particular version of a gene.	Bik'ehgo náás oochíił'ii łahgo át'éhígíí.										
amino acid		ats'íís bee nihwiileehii bá siléíí	The building block of protein. There are ą) amino acides, and each is specified by a DNA segment of three nucleotides (bases).	Ats'íís bee haleehii  naadiin ał'ąą ánéelt'e' éí ats'íís bitł'óól yee naalnishgo bee ats'íís hodooleeł dóó áadi hasht'éé yoodlííł.  Iiná bitł'óól, DNA, bee bóhólnííh éí bik'ehgo náás oochíiiłii táa'go bita'góó daníjaa'.										
amphibian		biyáázh tsʼǫʼasánígíí	A vertebrate animal whose internal temperature depends on the environment (ectotherm). Most live in the water when young and live on land as adults. Examples include frogs, toads, and salamanders.	Dahináanii bíígháán dahólónígíí  éí binaagóó áhoot'éhígíí binahjį' bits'íís sidoh dóó sik'azígíí éí (ectotherm wolyé). Yichííhgo táyi' naaleeh áádóó dahdínísééh dóó éí dóó  tábąąhdi dóó łeeshtahdi dahiná. Ch'ał ádaat'éii  dóó salamanders ááł ha'ní.	someone's baby									
