English word	English variant	Diné variant	Diné word	Biological definition in english	Defintion in Diné	Literal Translation	Distinction	See also (English)	See also (Diné)	Use in a sentence (English)	Use in a sentence (Diné)	Phonetic English	Phonetic Diné	English audio file name (leave blank for auto-generated)	Diné audio file name (leave blank for auto-generated)
ATP (adenosine triphosphate)			ats'íís bitł'óól biziil	Principal molecule for storing and transferring energy in cells.	Ats'íís bitł'óól biyi'di t'áádoole'é si'ą́ągo ats'íís bitł'óól yee biinéí dooígíí bii' nihwiileeh dóó náásgóó ííł'į́					Cells use the food you eat to make  adenosine triphosphate, which  stores chemical energy that can be used  to do work like move molecules or grow.					
autoimmune disease			ats'íís ádík'ijį' naalnish	Occurs when the body's immune system attacks and destroys healthy body tissue by mistake	Ats'íís iisiihgo ádík'ijį' naalnish yileehgo ats'íís doo bąąhtééh da yę́ę niyiiłchxǫǫh yileeh					Sometimes your body's immune system mistakes your own cells as pathogens, this can cause autoimmune disease.					
autotroph			bich'iiyą' t'áá bí ííł'íinii	An organism capable of making its own food from inorganic substances using light or chemical energy (compare with heterotroph)	Hináanii t'áá bí ch'iyáán yidooyį́į́łígíí ííł' į́ t'áá ákǫ́ǫ́h binaagóó hólónígíí adinídíín dóó t'áádoole'é ałtah nihwiileehgo ahił nidaalnishígíí bits'ą́ą́ biziil choyooł'į́įgo					You've never seen pine trees eat food because they are autotrophs and use light, water, and carbon dioxide to gain energy. 					
bacteria		0	chʼosh doo yitʼínii	Microscopic single celled organisms.	T'áádoole'é bits'íís bitł'óól t'ááłá'ígo yee hiná ch'osh doo yit'íinii dabijiní	chʼosh=bug, doo yitʼínii= you can't see.	Also includes viruses			Even if your hands look clean it is important that you wash them to remove any harmful bacteria. 					
base			ats'íís bee nihwiileehii bá siléíí	A substance that becomes more positively or negatively charged during a chemical reaction and accepts hydrogen ions when dissolved in water.	Ha'át'íi da náádaa łahdę́ę́' ha'át'íi da bił ahiih yilyéehgo bitsiniltł'ish bilááh éí doodago a'oh yileeh  taah ji'áahgo níłch'i hydrogen bitsiniltł'ish náyiilááh					Many toothpastes include a base like baking soda as an ingredient because it can prevent bacteria from growing in your mouth.					
base pair			ats'íís bee haleehii ałch'į' nanideeh	Two nucleotides (also known as bases) that combine and join to make DNA. Base A combines with T and base G combines with C.	Bee iiná hodooleełii nucleotide naakigo ahidii'ash éí ats'íís bitł'óól DNA yileeh					DNA is shaped like a spiral staircase.  Like pieces of a puzzle, only certain base pairs can fit together to make the steps of the staircase.					
behavior			hináanii áát'įįłgi át'éego	How an organism acts	Hináanii áát'įįłígíí				hináanii	A spider building a web, a dog wagging its tail, or a bird calling for a mate are all examples of these organism's behavior.					
biochemical reaction			bee iináanii nidaalnish	In organisms, chemical reactions that help sustain life and allow cells to grow	Hináanii bits'íístahdi t'áá ałtso ahił nidaalnishgo yee hiná dóó bits'íís bitł'óól hazhó'ó danéesé					When you eat food, your body converts it into energy through a biochemical reaction called metabolism.					
biodiversity			hináanii ał'ąą ádaat'éhígíí	The variety of life and its processes, including the variety of living organisms, the genetic differences among them, and the communities and ecosystems in which they occur	Iiná ał'ąą ádaat'éego bits'ą́ą́dóó ayoonaałígíí éí díí dahináanii t'áá ałtso, bik'ehgo yee oołchíiłii dóó naaldeehgo bá nahaz'áą́góó dóó hózhǫ́ǫgo bá dahoo'a'gi				hináanii	The biodiversity in a desert includes the cacti, bats, lizards, hummingbirds, and beetles that live there.					
biogeochemical cycle			nahasdzáán iiná ánáyoodlííł	The cycle in which nitrogen, carbon, and other inorganic elements of the environment are converted into the organic substances of animals or plants and released back into the environment	Níłch'i nitrogen, t'eesh carbon dóó t'áádoole'é doo dahináanii bits'ą́ą́dę́ę́' dahólónígíí inorganic substances bił ááhoo'níiłgo bił hoogáałígíí hináanii nídanidlį́ dóó nahasdzáán bikáá'góó ał'ąą nídadilzhish					The water cycle is a biogeochemical cycle that describes the way water moves around the Earth.  It includes clouds forming, rain falling, plants absorbing water from the soil, and water evaporating from rivers and lakes.					
biology			iiná naalkaah	The scientific study of life and living organisms	Dahináanii t'áá ałtso baa nahodigį'go naalkaah	iiná=life, naalkaah= study. means to study life. 				In biology class, you learn how all of life functions and changes over time, from the smallest celled organisms to vast ecosystems.					
biome			iina bá yá'áhoot'éehgo haz'ą́	A regional or global land area that is characterized by the plants, animals and climate in that area	Nahasdzáán bikáagi haashį́į́ honíłtso haz'ą́ągo nanise' dóó naaldeehii bá yá'áhoot'éehgo bił hoolzhish					A desert is a biome that has plants and animals that live successfully with little or no rainfall.					
biosphere			hináanii bee hahodít'éegi	The thin zone surrounding Earth where all life exists	Nahasdzáán bikáá'góó áhoołts'óózígo honít'i'go iiná bináhaazlá				hináanii	The biosphere includes all of the places on Earth where organisms can live.					
biotic factor			hináanii ahił nidaalnish	Any living thing that has an effect on another organism, population, community, or ecosystem	Nahasdzáán bikáá'góó hináanii kéédahat'į́įgo bił nahaz'ánígíí hináanii t'áá át'é yiłdi'ígíí				hináanii	Plant growth can be affected by biotic factors like herbivores and pathogens.					
birth rate			nida'iichííh yéélta'ígíí	The number of total live births in comparison to the total population size in a specified community or area over a specified period of time	Bíla'ashdla'ii kééhat'į́įgi t'áá hoolzhishgóne' t'áá át'é yéélta'go dóó éí hoolzhishígíí haashį́į́ néelą́ą́' ániid náádaazhchínígíí yéélta'go ałhąą naa'nil.					If 20 calves are born on a farm with 100 total cows, then we could say that 0.2 calves are born for every cow on the farm (20 calves / 100 cows = 0.2 calves per cow).					
blood			dił	Body fluid in humans and other animals that delivers necessary substances such as nutrients and oxygen to the cells and transports waste away those cells	Bíla'ashdla'ii bits'íístoo' dóó hináago naaldeehii bits'íístoo' bits'íístahgóó dóó bits'íís bitł'óól biyi'góó níłch'i dóó ch'iyáán dóó yee hináanii ayiił'eeł áádóó ats'íís ałtso choyoos'įįdii níláhgóó ats'á yiile	dił=blood				Your body will stop functioning if it loses too much blood, because blood contains the oxygen and nutrients your body needs. 					
botany			nanise' ałtaas'éí naalkaah	The scientific study of plants	Chil dóó nanise' ał'ąą ádaat'éii naalkaah					You are studying botany when you learn about how plants function, grow, and reproduce.					
brain			atsiighąąʼ	The organ in the body which controls the functions of the body, interprets and stores information, and affects intelligence and emotion.	Ats'íís bii' siléí ats'íís t'áá át'é naalnishgo áyósin, ádahoot'éii t'áá ałtso yaa ákonízin dóó yénálniih, dóó bik'izhdiitáanii baa nitsídzíkees dóó háni' nilíinii yiyoołnaał	ghąąʼ= matter. atsii= heads. So the "matter in your head"				Your brain gives you the ability to think, speak, move, and remember.					
camouflage			bee na'nit'inii	When organisms disguise their appearance to blend in with their surroundings	Hináago naaldeeh dóó nidaat'a'ii binaagóó áhoot'éhígíí yee hadiit'įįhgo doo yit'į́į da yileeh					Jackrabbits are brown so that they camouflage with the dirt and avoid being seen by predators.					
carbohydrate			łikání bich'į' iinéí	An important nutrient used as energy by the body and made mostly of sugars	Ch'iyáán íiyisíí bee ats'íís bidziil dóó biinéí áyósinígíí. Łikání t'éí át'é.					Your body can use the carbohydrates  in foods like bread and potatoes  as sources of energy. 					
carbon cycle			níłch'i carbon dioxide náhoodleeł	The movement of carbon dioxide between the atmosphere, living organisms, and land and acquatic ecosystems.	Níłch'I carbon dioxide wolyéhígíí hót'ááhgóó dóó níłch'I bitahgóó, dahináanii bitahgóó dóó táyi'góó hoo'nááłgo ahééhwiilzhíísh					The carbon cycle describes the way carbon atoms move around the Earth.  Carbon atoms move around when animals decompose, plants grow, fossil fuels are burned, and oceans absorb carbon dioxide (CO2).					
carnivore			naaldeehii daʼalghałígíí	Animals that eat other animals	Hináanii naaldeehii naaldeehii deiyánígíí	naaldeehii=animals; daʼalghałígíí=eaters or butchers.			naaldeehii	Mountain lions have very sharp teeth because they are carnivores and need to tear apart the animals they eat. 					
